City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Tampin,MY,89.02,overcast clouds,2.4701,102.2302,A'Famosa Resort
599,Le Port,RE,82.62,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
600,Tam Ky,VN,84.97,scattered clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
606,Kanniyakumari,IN,87.87,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
609,Hobyo,SO,85.19,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
611,Mareeba,AU,79.48,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
613,Ojinaga,MX,75.42,clear sky,29.5667,-104.4167,Suites Las Palmas
616,Mogadishu,SO,84.02,overcast clouds,2.0371,45.3438,Hotel Juba
620,Buala,SB,83.68,light rain,-8.145,159.5921,Maringe Lagoon Lodge
621,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
625,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
636,Nabire,ID,83.79,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
640,Quang Ngai,VN,83.93,broken clouds,15.1167,108.8,Central Hotel
641,Coruripe,BR,77.52,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
642,Saint-Pierre,RE,82.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
648,Pamekasan,ID,86.32,moderate rain,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
658,Mangrol,IN,86.81,clear sky,21.1167,70.1167,Hotel The Royal Honours
661,Abu Zabad,SD,84.65,overcast clouds,12.35,29.25,حامد محمد نور
664,Miandrivazo,MG,85.24,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
667,Auki,SB,83.95,overcast clouds,-8.7676,160.7034,Auki Motel
669,Honiara,SB,82.92,overcast clouds,-9.4333,159.95,Heritage Park Hotel
670,Kupang,ID,86.13,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
671,Broken Hill,AU,80.31,clear sky,-31.95,141.4333,Royal Exchange Hotel
674,Sibolga,ID,86.29,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
678,San,ML,82.11,broken clouds,13.3034,-4.8956,Hôtel Teriya
681,Ambulu,ID,85.46,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
683,Tubuala,PA,80.6,overcast clouds,9.5167,-79.0333,Río Nabagana
687,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
697,Road Town,VG,75.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
698,Hwange,ZW,77.0,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
701,Matay,EG,78.13,clear sky,28.419,30.7792,Nag Aespen
702,Balikpapan,ID,77.99,light rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
703,Oranjestad,AW,78.57,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
