City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Torbay,CA,47.6666,-52.7314,36.28,83,100,20.71,overcast clouds
136,Chokurdakh,RU,70.6333,147.9167,10.89,92,99,4.54,overcast clouds
137,Ondjiva,AO,-17.0667,15.7333,68.58,69,100,2.75,overcast clouds
138,Camacha,PT,33.0833,-16.3333,56.62,88,20,9.22,few clouds
139,Dolinsk,RU,47.35,142.8,40.59,63,14,7.9,few clouds
140,Chuy,UY,-33.6971,-53.4616,57.99,74,23,6.26,few clouds
141,Murgab,TM,37.4966,61.9714,70.52,29,100,17.09,overcast clouds
142,Dingle,PH,10.9995,122.6711,86.11,68,39,6.31,scattered clouds
143,Nizhnevartovsk,RU,60.9344,76.5531,51.82,43,0,11.18,clear sky
144,Manuk Mangkaw,PH,4.8,119.85,83.59,71,92,10.2,overcast clouds
145,Praia,CV,14.9215,-23.5087,68.54,73,75,11.5,broken clouds
146,Kapoeta,SS,4.7717,33.5903,71.46,85,100,10.54,light rain
147,Upernavik,GL,72.7868,-56.1549,-18.04,99,45,6.69,scattered clouds
148,Barkhan,PK,29.8977,69.5256,87.15,7,0,3.13,clear sky
149,Brownwood,US,31.7093,-98.9912,76.32,74,75,5.75,broken clouds
150,Kavaratti,IN,10.5669,72.642,84.36,72,85,6.69,overcast clouds
151,Gizo,SB,-8.103,156.8419,83.37,74,100,4.61,light rain
152,Amahai,ID,-3.3333,128.9167,86.52,64,54,6.17,broken clouds
153,Datong,CN,40.0936,113.2914,59.5,11,9,4.79,clear sky
154,Minab,IR,27.1467,57.0801,94.46,29,10,8.84,clear sky
155,Bhawanipatna,IN,19.9,83.1667,102.29,20,70,7.38,broken clouds
156,Nikolskoye,RU,59.7035,30.7861,37.71,77,72,10.2,broken clouds
157,Berdigestyakh,RU,62.0989,126.6992,27.9,77,100,9.01,overcast clouds
158,Avenal,US,36.0041,-120.129,62.37,57,98,6.58,overcast clouds
159,Paita,PE,-5.0892,-81.1144,68.02,82,59,10.85,broken clouds
160,Beloha,MG,-25.1667,45.05,83.93,53,33,4.47,scattered clouds
161,San Quintin,MX,30.4833,-115.95,58.75,90,52,11.25,broken clouds
162,Porto Nacional,BR,-10.7081,-48.4172,75.2,94,100,1.25,overcast clouds
163,Wenling,CN,28.3669,121.36,56.07,68,100,10.85,overcast clouds
164,Hasaki,JP,35.7333,140.8333,61.29,74,100,18.48,overcast clouds
165,Guerrero Negro,MX,27.9769,-114.0611,58.87,84,97,12.82,overcast clouds
166,Rio Gallegos,AR,-51.6226,-69.2181,39.25,93,0,9.22,clear sky
167,Sorland,NO,67.667,12.6934,40.86,100,100,16.11,heavy intensity drizzle
168,Marmora,IT,44.4583,7.094,51.67,74,8,2.51,clear sky
169,Xichang,CN,27.8964,102.2634,68.04,60,95,0.65,overcast clouds
170,Maryborough,AU,-25.5333,152.7,73.27,58,45,8.66,scattered clouds
171,Zarubino,RU,42.63,131.0922,49.75,50,13,16.75,few clouds
172,Jeremie,HT,18.65,-74.1167,75.76,83,51,4.7,broken clouds
173,Roma,US,43.2128,-75.4557,50.72,80,100,3.44,overcast clouds
174,Roald,NO,62.5833,6.1333,46.33,75,39,5.75,scattered clouds
175,Lat Yao,TH,15.751,99.7893,103.08,24,3,6.51,clear sky
176,Bredasdorp,ZA,-34.5322,20.0403,58.78,66,96,12.15,overcast clouds
177,Aquin,HT,18.2833,-73.4,75.31,82,35,6.6,scattered clouds
178,Trairi,BR,-3.2778,-39.2689,73.8,94,34,3.94,scattered clouds
179,Grindavik,IS,63.8424,-22.4338,48.15,100,100,40.29,light intensity drizzle rain
180,Khatanga,RU,71.9667,102.5,24.12,89,100,9.15,overcast clouds
181,Taguatinga,BR,-12.3857,-46.5711,71.33,95,97,1.79,overcast clouds
182,Tara,RU,56.8944,74.371,65.77,38,76,13.71,broken clouds
183,Cherskiy,RU,68.75,161.3,18.3,94,100,9.73,overcast clouds
184,Husavik,IS,66.0449,-17.3389,38.23,70,96,15.41,overcast clouds
185,Umm Kaddadah,SD,13.6017,26.6876,81.91,23,99,4.21,overcast clouds
186,Pontianak,ID,-0.0333,109.3333,78.78,89,40,4.61,thunderstorm with light rain
187,Dzhebariki-Khaya,RU,62.2167,135.8,29.34,80,43,2.93,scattered clouds
188,Gat,IL,31.61,34.7642,74.39,34,10,3.71,clear sky
189,Willmar,US,45.1219,-95.0433,26.62,75,100,20.71,overcast clouds
190,Makakilo City,US,21.3469,-158.0858,75.52,67,0,11.5,clear sky
191,Provideniya,RU,64.3833,-173.3,32.52,94,100,19.53,light snow
192,Mar Del Plata,AR,-38.0023,-57.5575,52.88,93,1,4.61,mist
193,Beringovskiy,RU,63.05,179.3167,32.05,98,100,25.34,light snow
194,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,75,0,12.66,clear sky
195,Eskisehir,TR,39.7767,30.5206,57.92,63,0,4.61,clear sky
196,Ambilobe,MG,-13.2,49.05,84.92,61,21,8.08,few clouds
197,Mount Pleasant,US,32.7941,-79.8626,64.0,90,0,5.75,clear sky
198,Redmond,US,47.674,-122.1215,44.71,77,80,3.0,broken clouds
199,Najran,SA,17.4924,44.1277,86.65,22,3,4.27,clear sky
200,Raton,US,36.9034,-104.4391,47.05,31,0,8.05,clear sky
201,Vardo,NO,70.3705,31.1107,35.31,92,100,12.35,light snow
202,Hami,CN,42.8,93.45,54.84,21,77,5.19,broken clouds
203,Mayumba,GA,-3.432,10.6554,77.09,89,93,5.97,overcast clouds
204,Ouango,CF,4.3133,22.5552,71.98,96,100,1.32,overcast clouds
205,Talakan,RU,50.3167,130.3667,39.72,58,100,10.98,overcast clouds
206,Hithadhoo,MV,-0.6,73.0833,83.16,66,81,2.13,broken clouds
207,Gonbad-E Qabus,IR,37.25,55.1672,58.15,57,90,4.97,overcast clouds
208,Katsuura,JP,35.1333,140.3,54.55,74,100,12.77,overcast clouds
