City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,Olden,61.8364,6.8064,45.34,90,100,7.47,NO,2022-04-15 21:22:00
133,Westport,41.1415,-73.3579,69.44,32,0,16.11,US,2022-04-15 21:21:55
134,Denizli,37.8402,29.0698,57.58,41,4,1.97,TR,2022-04-15 21:22:00
135,Bondo,3.8146,23.6866,69.37,91,95,1.45,CD,2022-04-15 21:22:00
136,Cherskiy,68.75,161.3,12.11,96,97,2.26,RU,2022-04-15 21:23:01
137,Kloulklubed,7.0419,134.2556,77.5,78,89,6.22,PW,2022-04-15 21:23:01
138,Basco,20.4487,121.9702,76.12,77,91,23.71,PH,2022-04-15 21:23:01
139,Kutum,14.2,24.6667,76.14,9,60,8.93,SD,2022-04-15 21:23:02
140,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,77.07,87,100,0.36,BR,2022-04-15 21:23:02
141,Boende,-0.2167,20.8667,70.83,97,100,1.52,CD,2022-04-15 21:23:02
142,Butaritari,3.0707,172.7902,81.1,74,80,9.4,KI,2022-04-15 21:23:03
143,Humberto De Campos,-2.5983,-43.4611,77.22,92,100,5.19,BR,2022-04-15 21:23:03
144,Geraldton,-28.7667,114.6,59.41,94,0,4.61,AU,2022-04-15 21:23:04
145,Qaanaaq,77.484,-69.3632,-2.04,93,100,7.45,GL,2022-04-15 21:23:04
146,Krasnogorodsk,56.8357,28.2822,35.28,85,96,11.52,RU,2022-04-15 21:23:04
147,Avera,33.194,-82.5271,78.55,35,3,10.02,US,2022-04-15 21:23:05
148,Palaia Fokaia,37.72,23.9463,62.76,54,100,6.13,GR,2022-04-15 21:23:05
149,Adrar,20.5022,-10.0711,81.84,11,16,4.38,MR,2022-04-15 21:23:05
150,Brainerd,46.358,-94.2008,26.85,50,100,17.27,US,2022-04-15 21:23:06
151,Georgetown,5.4112,100.3354,80.55,89,40,3.44,MY,2022-04-15 21:23:06
152,Nemuro,43.3236,145.575,33.62,89,100,19.86,JP,2022-04-15 21:23:06
153,Araguaina,-7.1911,-48.2072,78.55,84,50,5.41,BR,2022-04-15 21:23:07
154,Stromness,58.965,-3.296,45.88,92,100,8.01,GB,2022-04-15 21:23:07
155,Tuktoyaktuk,69.4541,-133.0374,-7.6,84,40,2.3,CA,2022-04-15 21:23:08
156,Saint-Philippe,-21.3585,55.7679,74.79,88,48,13.24,RE,2022-04-15 21:20:28
157,Antofagasta,-23.65,-70.4,63.68,74,5,8.28,CL,2022-04-15 21:23:08
158,Nipawin,53.3668,-104.0009,28.44,37,0,10.36,CA,2022-04-15 21:23:09
159,Ligayan,4.6533,119.4706,81.91,77,45,9.82,PH,2022-04-15 21:23:09
160,Touros,-5.1989,-35.4608,80.62,81,16,10.04,BR,2022-04-15 21:23:09
161,Guerrero Negro,27.9769,-114.0611,65.84,57,100,17.54,MX,2022-04-15 21:23:10
162,Taoudenni,22.6783,-3.9836,81.45,15,0,10.38,ML,2022-04-15 21:23:10
163,Honiara,-9.4333,159.95,77.72,87,100,1.45,SB,2022-04-15 21:23:11
164,Bessonovka,53.3097,45.0407,42.49,67,67,3.11,RU,2022-04-15 21:23:11
165,Brzesko,49.9691,20.6061,50.59,85,99,4.0,PL,2022-04-15 21:23:11
166,Chuy,-33.6971,-53.4616,63.9,68,58,7.2,UY,2022-04-15 21:23:12
167,Clyde River,70.4692,-68.5914,-3.77,77,0,12.66,CA,2022-04-15 21:23:12
168,Tasiilaq,65.6145,-37.6368,37.56,98,100,8.77,GL,2022-04-15 21:23:13
169,Nuuk,64.1835,-51.7216,20.88,62,36,25.99,GL,2022-04-15 21:23:13
170,Flin Flon,54.7682,-101.865,26.44,28,100,13.8,CA,2022-04-15 21:23:13
171,Talcahuano,-36.7167,-73.1167,56.88,67,100,1.14,CL,2022-04-15 21:19:20
172,Kulhudhuffushi,6.6221,73.07,84.04,72,40,8.7,MV,2022-04-15 21:21:19
173,Mahebourg,-20.4081,57.7,77.29,78,75,14.97,MU,2022-04-15 21:20:32
174,Opuwo,-18.0607,13.84,72.48,42,63,3.74,NA,2022-04-15 21:21:23
175,Ambon,-3.6954,128.1814,77.14,88,20,9.22,ID,2022-04-15 21:23:14
176,Muros,42.7762,-9.0603,57.69,81,32,3.87,ES,2022-04-15 21:23:14
177,Makasar,-5.14,119.4221,75.25,100,40,2.3,ID,2022-04-15 21:23:15
178,Samarai,-10.6167,150.6667,82.0,75,96,8.08,PG,2022-04-15 21:23:15
179,Cayenne,4.9333,-52.3333,82.09,1,75,10.36,GF,2022-04-15 21:23:03
180,Hami,42.8,93.45,45.57,35,66,7.96,CN,2022-04-15 21:20:24
181,Port Lincoln,-34.7333,135.8667,65.28,83,0,7.54,AU,2022-04-15 21:24:16
182,Kavaratti,10.5669,72.642,82.83,74,22,2.51,IN,2022-04-15 21:24:16
183,Annau,37.8876,58.516,60.3,59,75,6.91,TM,2022-04-15 21:24:17
184,High Rock,26.6208,-78.2833,73.42,81,100,18.41,BS,2022-04-15 21:24:17
185,Kapaa,22.0752,-159.319,80.58,72,75,17.27,US,2022-04-15 21:21:40
186,Vanavara,60.34,102.2797,31.42,98,100,1.66,RU,2022-04-15 21:24:17
187,Vylkove,45.4021,29.586,52.79,60,58,12.35,UA,2022-04-15 21:24:18
188,Denpasar,-8.65,115.2167,80.26,94,40,2.3,ID,2022-04-15 21:21:25
189,Popondetta,-8.7537,148.2534,75.24,86,76,2.66,PG,2022-04-15 21:24:18
190,Sao Felix Do Xingu,-6.6447,-51.995,76.55,94,100,1.21,BR,2022-04-15 21:21:19
191,Ancud,-41.8697,-73.8203,61.23,81,37,5.73,CL,2022-04-15 21:20:27
192,Butembo,0.15,29.2833,56.39,99,80,2.48,CD,2022-04-15 21:24:19
193,Bethel,41.3712,-73.414,69.37,24,0,12.66,US,2022-04-15 21:24:19
194,Vardo,70.3705,31.1107,34.77,95,100,19.04,NO,2022-04-15 21:24:19
195,Ilulissat,69.2167,-51.1,14.02,57,75,6.91,GL,2022-04-15 21:22:57
196,Tateyama,34.9833,139.8667,50.09,84,100,19.26,JP,2022-04-15 21:24:20
197,Aviles,43.5547,-5.9248,59.38,89,75,5.01,ES,2022-04-15 21:24:20
198,Karratha,-20.7377,116.8463,83.03,70,72,3.2,AU,2022-04-15 21:24:20
199,Saldanha,-33.0117,17.9442,57.25,59,6,19.35,ZA,2022-04-15 21:24:21
200,Carnarvon,-24.8667,113.6333,69.87,83,49,5.75,AU,2022-04-15 21:24:21
201,Mirabad,30.4362,61.8383,87.06,10,82,7.94,AF,2022-04-15 21:24:21
202,Hasaki,35.7333,140.8333,46.8,87,100,33.04,JP,2022-04-15 21:20:27
203,Varazdin,46.3044,16.3378,50.9,90,77,2.42,HR,2022-04-15 21:24:22
204,Sioux Lookout,50.1001,-91.917,19.47,63,100,17.27,CA,2022-04-15 21:24:22
205,Saint-Joseph,-21.3667,55.6167,73.78,84,37,12.97,RE,2022-04-15 21:24:22
206,Aloleng,16.1307,119.7824,80.37,70,100,5.66,PH,2022-04-15 21:24:23
207,Hualmay,-11.0964,-77.6139,70.79,74,22,13.98,PE,2022-04-15 21:24:23
208,Ashqelon,31.6693,34.5715,60.69,72,88,6.42,IL,2022-04-15 21:24:23
209,Tel Aviv-Yafo,32.0805,34.7805,60.98,72,0,5.75,IL,2022-04-15 21:24:24
210,Inhambane,-23.865,35.3833,75.81,94,93,0.54,MZ,2022-04-15 21:24:24
211,Kintampo,8.0563,-1.7306,82.63,61,52,5.99,GH,2022-04-15 21:24:24
212,Kitangari,-10.65,39.3333,70.68,99,77,4.83,TZ,2022-04-15 21:24:25
213,Pampas,-12.4,-74.9,61.63,57,86,8.08,PE,2022-04-15 21:24:25
214,Kaitangata,-46.2817,169.8464,51.26,85,74,15.14,NZ,2022-04-15 21:22:49
215,Camacha,33.0833,-16.3333,58.42,88,20,12.66,PT,2022-04-15 21:24:26
216,Narsaq,60.9167,-46.05,32.22,66,71,3.09,GL,2022-04-15 21:24:26
217,Cooma,-36.2333,149.1333,42.57,100,40,1.14,AU,2022-04-15 21:24:26
218,Yamada,39.4667,141.95,36.95,95,100,13.44,JP,2022-04-15 21:24:26
219,Hithadhoo,-0.6,73.0833,82.8,67,88,1.57,MV,2022-04-15 21:24:27
220,Norman Wells,65.282,-126.8329,12.24,52,75,13.8,CA,2022-04-15 21:24:27
221,Yichun,47.7,128.9,35.06,61,100,3.71,CN,2022-04-15 21:24:27
222,Melfort,52.8667,-104.6177,23.13,36,100,7.99,CA,2022-04-15 21:24:28
223,Urucara,-2.5364,-57.76,76.57,96,100,2.64,BR,2022-04-15 21:24:28
224,Msanga,-6.05,36.0333,64.9,96,94,4.05,TZ,2022-04-15 21:24:28
225,Ambilobe,-13.2,49.05,75.42,81,75,4.59,MG,2022-04-15 21:24:29
226,Mercedes,-34.6515,-59.4307,65.86,44,0,6.49,AR,2022-04-15 21:24:29
227,Moindou,-21.6924,165.677,74.43,82,58,4.59,NC,2022-04-15 21:25:29
228,Tyup,42.7276,78.3648,45.39,55,0,1.88,KG,2022-04-15 21:25:30
229,Faanui,-16.4833,-151.75,82.0,72,3,17.63,PF,2022-04-15 21:25:30
230,Laguna,38.421,-121.4238,72.32,47,0,10.36,US,2022-04-15 21:25:13
231,Maracas,-13.4411,-40.4308,77.13,56,95,2.17,BR,2022-04-15 21:25:30
232,Lucapa,-8.4192,20.7447,67.28,96,100,0.89,AO,2022-04-15 21:25:31
233,Lebu,-37.6167,-73.65,57.24,77,8,12.39,CL,2022-04-15 21:25:31
234,Makakilo City,21.3469,-158.0858,80.92,50,100,17.27,US,2022-04-15 21:23:00
235,Haines Junction,60.7522,-137.5108,37.35,30,2,6.91,CA,2022-04-15 21:25:31
236,Sauda,59.6506,6.3542,43.68,84,100,3.87,NO,2022-04-15 21:25:32
237,Riyadh,24.6877,46.7219,82.54,26,94,8.66,SA,2022-04-15 21:21:25
238,Torbay,47.6666,-52.7314,43.57,58,40,10.36,CA,2022-04-15 21:23:36
239,Bihar,47.15,21.9167,54.1,67,20,2.3,RO,2022-04-15 21:25:32
240,Lagoa,39.05,-27.9833,58.86,76,100,15.41,PT,2022-04-15 21:22:56
241,Constitucion,-35.3333,-72.4167,58.01,74,1,8.1,CL,2022-04-15 21:25:33
242,Bodden Town,19.2833,-81.25,86.0,67,20,11.5,KY,2022-04-15 21:25:33
243,Twentynine Palms,34.1356,-116.0542,80.15,16,61,5.01,US,2022-04-15 21:25:33
244,Kalispell,48.1958,-114.3129,36.28,47,0,5.75,US,2022-04-15 21:21:06
245,Inirida,3.8653,-67.9239,79.81,88,94,0.96,CO,2022-04-15 21:23:09
246,Comodoro Rivadavia,-45.8667,-67.5,71.46,33,0,23.02,AR,2022-04-15 21:25:34
247,Obo,5.3998,26.4869,70.52,87,100,3.13,CF,2022-04-15 21:25:34
248,Isangel,-19.55,169.2667,82.51,78,79,5.75,VU,2022-04-15 21:25:34
249,Udachnyy,66.4167,112.4,-13.77,100,100,4.45,RU,2022-04-15 21:25:35
250,Craig,40.5153,-107.5464,57.15,26,0,29.93,US,2022-04-15 21:25:35
